commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
2a8a77cda594d4624894f0430d908b06b3917841;Remove Type;Type;<br>type <code>com.squareup.leakcanary.FailTestOnLeakRunListener</code> <br>was removed<br>;com.squareup.leakcanary.FailTestOnLeakRunListener;com.squareup.leakcanary.FailTestOnLeakRunListener;;;;;true;false;true
732f7887d5d3ea5326705bbddce4fb63e66b5471;Remove Supertype;Type;<br><code>com.squareup.leakcanary.Reachability</code><br>removed superClass java.lang.Enum</code><br>;;;com.squareup.leakcanary.Reachability;com.squareup.leakcanary.Reachability;java.lang.Enum;;true;false;true
732f7887d5d3ea5326705bbddce4fb63e66b5471;Add Final Modifier in Type;Type;type <code>com.squareup.leakcanary.Reachability</code><br>received the modifier <code>final</code><br>;;;com.squareup.leakcanary.Reachability;com.squareup.leakcanary.Reachability;;;true;false;true
0143219a5bba824fcb70b9280fa367793f9b83cd;Remove Final Modifier in Type;Type;type <code>com.squareup.leakcanary.FailTestOnLeakRunListener</code><br>lost the modifier <code>final</code><br>;;;com.squareup.leakcanary.FailTestOnLeakRunListener;com.squareup.leakcanary.FailTestOnLeakRunListener;;;false;false;true
5663452f85df6f1dc3cfa8fd91b99b2c3068179a;Add Type;Type;<br>Type <code>com.squareup.leakcanary.HeapDump.Builder</code> added<br>;;;com.squareup.leakcanary.HeapDump.Builder;com.squareup.leakcanary.HeapDump.Builder;;;false;false;false
8c6f95815e20ced2e8a6554ae75bf408373dcf26;Add Type;Type;<br>Type <code>com.squareup.leakcanary.FailTestOnLeakRunListener</code> added<br>;;;com.squareup.leakcanary.FailTestOnLeakRunListener;com.squareup.leakcanary.FailTestOnLeakRunListener;;;false;false;true
50a9a0aec4510f7c1450281d438c86eefffa9330;Add Type;Type;<br>Type <code>com.squareup.leakcanary.ExcludedRefs.BuilderWithParams</code> added<br>;;;com.squareup.leakcanary.ExcludedRefs.BuilderWithParams;com.squareup.leakcanary.ExcludedRefs.BuilderWithParams;;;false;false;false
50a9a0aec4510f7c1450281d438c86eefffa9330;Remove Final Modifier in Type;Type;type <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>lost the modifier <code>final</code><br>;;;com.squareup.leakcanary.ExcludedRefs.Builder;com.squareup.leakcanary.ExcludedRefs.Builder;;;false;false;false
50a9a0aec4510f7c1450281d438c86eefffa9330;Remove Static Modifier in Type;Type;type <code>com.squareup.leakcanary.ExcludedRefs.Builder</code><br>lost the modifier <code>static</code><br>;;;com.squareup.leakcanary.ExcludedRefs.Builder;com.squareup.leakcanary.ExcludedRefs.Builder;;;true;false;false
1b1c6525be7a14e4d1a37302c9003920e3b31a5b;Add Supertype;Type;<br><code>com.squareup.leakcanary.AndroidExcludedRefs</code><br>added superClass java.lang.Enum</code><br>;;;com.squareup.leakcanary.AndroidExcludedRefs;com.squareup.leakcanary.AndroidExcludedRefs;;java.lang.Enum;false;false;true
