commit;category;change;description;originalElement;originalClass;nextElement;nextClass;otherElement1;otherElement2;isBreakingChange;deprecated;javaDoc
3cd4f03002044a3353d5b2a742c62e685963dcb6;Move Type;Type;<br>type <code>com.orhanobut.logger.LogItem</code><br>moved to<br><code>com.orhanobut.logger.LogAssert.LogItem</code><br>;;com.orhanobut.logger.LogItem;;com.orhanobut.logger.LogAssert.LogItem;;;true;false;false
3cd4f03002044a3353d5b2a742c62e685963dcb6;Lost Visibility in Type;Type;<br>type <code>com.orhanobut.logger.LogAssert.LogItem</code><br>changed visibility from <code>public</code>to <code>default</code><br>;;com.orhanobut.logger.LogItem;;com.orhanobut.logger.LogAssert.LogItem;public;default;true;false;false
95aeafcb66421372ff9e0cd7e60dd348d7f0fa9b;Add Type;Type;<br>type <code>com.orhanobut.logger.LogItem</code> added<br>;;;;com.orhanobut.logger.LogItem;;;false;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Extract Type;Type;<br>extract type <code>com.orhanobut.logger.AndroidLogStrategy</code><br>from <code>com.orhanobut.logger.LoggerPrinter</code><br>;;;;com.orhanobut.logger.AndroidLogStrategy;com.orhanobut.logger.LoggerPrinter;;true;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Extract Type;Type;<br>extract type <code>com.orhanobut.logger.PrettyFormatStrategy</code><br>from <code>com.orhanobut.logger.LoggerPrinter</code><br>;;;;com.orhanobut.logger.PrettyFormatStrategy;com.orhanobut.logger.LoggerPrinter;;true;false;false
a1f5f1152e7d719df5297342c6be4fc0943502d2;Move Type;Type;<br>type <code>com.orhanobut.logger.Logger.Settings</code><br>moved to<br><code>com.orhanobut.logger.Settings</code><br>;;com.orhanobut.logger.Logger.Settings;;com.orhanobut.logger.Settings;;;true;false;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Change in Parameter List;Method;<br>method <code>AbstractAndroidFileLogger(int maxFileSize, String folder)</code><br>in <code>com.orhanobut.logger.AbstractAndroidFileLogger</code><br>changed the list parameters<br>to <code>DiskLogStrategy(String folder, int maxFileSize)</code><br>in <code>com.orhanobut.logger.DiskLogStrategy</code><br>;AbstractAndroidFileLogger(int, String);com.orhanobut.logger.AbstractAndroidFileLogger;DiskLogStrategy(String, int);com.orhanobut.logger.DiskLogStrategy;;;true;false;true
bc0516be6c049bd2949653ddd5fb77b6c440c468;Change in Parameter List;Method;<br>method <code>writeLog(FileWriter fileWriter, int level, String tag, String message)</code><br>in <code>com.orhanobut.logger.AndroidCsvFileLogger</code><br>changed the list parameters<br>to <code>log(int priority, String onceOnlyTag, String message)</code><br>in <code>com.orhanobut.logger.CsvFormatStrategy</code><br>;writeLog(FileWriter, int, String, String);com.orhanobut.logger.AndroidCsvFileLogger;log(int, String, String);com.orhanobut.logger.CsvFormatStrategy;;;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Move and Rename Method;Method;<br>method <code>writeLog(FileWriter fileWriter, int level, String tag, String message)</code><br>renamed to <code>log(int priority, String onceOnlyTag, String message)</code><br>and moved from <code>com.orhanobut.logger.AndroidCsvFileLogger</code><br>to <code>com.orhanobut.logger.CsvFormatStrategy</code><br>;writeLog(FileWriter, int, String, String);com.orhanobut.logger.AndroidCsvFileLogger;log(int, String, String);com.orhanobut.logger.CsvFormatStrategy;;;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Gain Visibility in Method;Method;<br>method <code>log(int priority, String onceOnlyTag, String message)</code><br>changed visibility from <code>protected</code>to <code>public</code><br>in <code>com.orhanobut.logger.CsvFormatStrategy</code><br>;writeLog(FileWriter fileWriter, int level, String tag, String message);com.orhanobut.logger.AndroidCsvFileLogger;log(int priority, String onceOnlyTag, String message);com.orhanobut.logger.CsvFormatStrategy;protected;public;false;false;false
bc0516be6c049bd2949653ddd5fb77b6c440c468;Change in Exception List;Method;<br>method <code>log(int priority, String onceOnlyTag, String message)</code><br>removed list exception <code>IOException</code><br>in <code>com.orhanobut.logger.CsvFormatStrategy</code><br>;writeLog(FileWriter fileWriter, int level, String tag, String message);com.orhanobut.logger.AndroidCsvFileLogger;log(int priority, String onceOnlyTag, String message);com.orhanobut.logger.CsvFormatStrategy;IOException;;false;false;false
91df22c93189a43bada2c9944d7f0514cbf2cf3d;Move and Rename Method;Method;<br>method <code>toString(int value)</code><br>renamed to <code>logLevel(int value)</code><br>and moved from <code>com.orhanobut.logger.LogLevel</code><br>to <code>com.orhanobut.logger.Utils</code><br>;toString(int);com.orhanobut.logger.LogLevel;logLevel(int);com.orhanobut.logger.Utils;;;true;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Rename Method;Method;<br>method <code>resetSettings()</code><br>renamed to <code>clearLogAdapters()</code><br>in <code>com.orhanobut.logger.Logger</code><br>;resetSettings();com.orhanobut.logger.Logger;clearLogAdapters();com.orhanobut.logger.Logger;;;true;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>v(String tag, String message)</code><br>removed from <code>com.orhanobut.logger.LogAdapter</code><br>;v(String tag, String message);com.orhanobut.logger.LogAdapter;;;;;true;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>d(String tag, String message)</code><br>removed from <code>com.orhanobut.logger.LogAdapter</code><br>;d(String tag, String message);com.orhanobut.logger.LogAdapter;;;;;true;false;false
84c6056c8cea1498b35ee9942074436f78bfbc26;Remove Method;Method;<br>method <code>w(String tag, String message)</code><br>removed from <code>com.orhanobut.logger.LogAdapter</code><br>;w(String tag, String message);com.orhanobut.logger.LogAdapter;;;;;true;false;false
